Drug;Line;Pathway;Target;Enriched.Target;is.pathway.enriched;is.target.enriched
VPS34-IN1;D019T01;PI3K/Akt/mTOR;PI3K;NA;FALSE;FALSE
VS-5584 (SB2343);D019T01;PI3K/Akt/mTOR;PI3K;NA;TRUE;FALSE
VX-11e;D019T01;MAPK;ERK;erk;TRUE;TRUE
VX-680 (Tozasertib, MK-0457);D019T01;Endocrinology & Hormones;Aurora Kinase;aurora kinase;FALSE;TRUE
Wnt agonist 1;D019T01;Stem Cells &  Wnt;Wnt, beta-catenin;NA;FALSE;FALSE
WYE-125132 (WYE-132);D019T01;PI3K/Akt/mTOR;mTOR;mtor;FALSE;TRUE
WYE-354;D019T01;PI3K/Akt/mTOR;mTOR;mtor;TRUE;TRUE
ZSTK474;D019T01;Neuronal Signaling;PI3K;NA;FALSE;FALSE
A-674563;D020T01;PI3K/Akt/mTOR;Akt, CDK, PKA;cdk;FALSE;TRUE
AEE788 (NVP-AEE788);D020T01;Protein Tyrosine Kinase;EGFR, Flt, VEGFR, HER2;egfr;FALSE;TRUE
Alisertib (MLN8237);D020T01;Others;Aurora Kinase;aurora kinase;FALSE;TRUE
AMG-900;D020T01;Cell Cycle;Aurora Kinase;NA;FALSE;FALSE
AP26113;D020T01;Protein Tyrosine Kinase;ALK;NA;FALSE;FALSE
AST-1306;D020T01;Protein Tyrosine Kinase;EGFR;egfr;FALSE;TRUE
AT7519;D020T01;Cell Cycle;CDK;NA;FALSE;FALSE
AT7867;D020T01;PI3K/Akt/mTOR;Akt, S6 kinase;NA;FALSE;FALSE
AT9283;D020T01;Others;Bcr-Abl, JAK, Aurora Kinase;jak;FALSE;TRUE
Aurora A Inhibitor I;D020T01;Cell Cycle;Aurora Kinase;aurora kinase;FALSE;TRUE
AZ20;D020T01;PI3K/Akt/mTOR;ATM, ATR;NA;FALSE;FALSE
AZD1480;D020T01;JAK/STAT;JAK;jak;FALSE;TRUE
AZD2014;D020T01;PI3K/Akt/mTOR;mTOR;mtor;TRUE;TRUE
AZD2858;D020T01;PI3K/Akt/mTOR;GSK-3;gsk-3;FALSE;TRUE
AZD3463;D020T01;Protein Tyrosine Kinase;ALK;NA;FALSE;FALSE
AZD3759;D020T01;Protein Tyrosine Kinase;EGFR;NA;FALSE;FALSE
AZD5438;D020T01;Cell Cycle;CDK;cdk;FALSE;TRUE
AZD6738;D020T01;PI3K/Akt/mTOR;ATM, ATR;NA;FALSE;FALSE
AZD7762;D020T01;Cell Cycle;Chk;NA;FALSE;FALSE
AZD8055;D020T01;PI3K/Akt/mTOR;mTOR;NA;FALSE;FALSE
AZD8330;D020T01;MAPK;MEK;mek;FALSE;TRUE
AZD8931 (Sapitinib);D020T01;Protein Tyrosine Kinase;EGFR, HER2;egfr;FALSE;TRUE
Barasertib (AZD1152-HQPA);D020T01;Others;Aurora Kinase;aurora kinase;FALSE;TRUE
BGT226 (NVP-BGT226);D020T01;PI3K/Akt/mTOR;PI3K, mTOR;NA;FALSE;FALSE
BI 2536;D020T01;Others;PLK;plk;FALSE;TRUE
BKM120 (NVP-BKM120, Buparlisib);D020T01;PI3K/Akt/mTOR;PI3K;NA;FALSE;FALSE
BMS-345541;D020T01;NF-_B;I_B, IKK;NA;FALSE;FALSE
BMS-536924;D020T01;Protein Tyrosine Kinase;IGF-1R;NA;FALSE;FALSE
BMS-754807;D020T01;Others;IGF-1R;NA;FALSE;FALSE
Bortezomib__0.2;D020T01;NA;PSMB1;NA;FALSE;FALSE
Bortezomib__1.0;D020T01;NA;PSMB1;NA;FALSE;FALSE
Bosutinib (SKI-606);D020T01;Angiogenesis;Src;NA;FALSE;FALSE
BX-912;D020T01;PI3K/Akt/mTOR;PDK-1;NA;FALSE;FALSE
CC-223;D020T01;PI3K/Akt/mTOR;mTOR;NA;FALSE;FALSE
CHIR-124;D020T01;Cell Cycle;Chk;chk;FALSE;TRUE
CHIR-98014;D020T01;PI3K/Akt/mTOR;GSK-3;gsk-3;FALSE;TRUE
CNX-2006;D020T01;Protein Tyrosine Kinase;EGFR;NA;FALSE;FALSE
Cobimetinib (GDC-0973, RG7420);D020T01;MAPK;MEK;mek;FALSE;TRUE
CP-673451;D020T01;Protein Tyrosine Kinase;PDGFR;NA;FALSE;FALSE
Crenolanib (CP-868596);D020T01;Protein Tyrosine Kinase;PDGFR;NA;FALSE;FALSE
Crizotinib (PF-02341066);D020T01;Others;c-Met, ALK;NA;FALSE;FALSE
CUDC-101;D020T01;Epigenetics;HDAC, EGFR, HER2;NA;FALSE;FALSE
CUDC-907;D020T01;Cytoskeletal Signaling;HDAC, PI3K;NA;FALSE;FALSE
CYC116;D020T01;Cell Cycle;Aurora Kinase, VEGFR;aurora kinase;FALSE;TRUE
Danusertib (PHA-739358);D020T01;Others;Aurora Kinase, FGFR, Bcr-Abl, c-RET, Src;NA;FALSE;FALSE
Dasatinib;D020T01;Angiogenesis;Src, Bcr-Abl, c-Kit;bcr-abl;FALSE;TRUE
Dinaciclib (SCH727965);D020T01;Cell Cycle;CDK;cdk;FALSE;TRUE
Dovitinib (TKI-258, CHIR-258);D020T01;Angiogenesis;c-Kit, FGFR, Flt, VEGFR, PDGFR;vegfr;FALSE;TRUE
Dovitinib (TKI-258) Dilactic Acid;D020T01;Angiogenesis;Flt, FGFR, PDGFR, VEGFR, c-Kit;NA;FALSE;FALSE
ENMD-2076;D020T01;Angiogenesis;Flt, Aurora Kinase, VEGFR;aurora kinase;FALSE;TRUE
ERK5-IN-1;D020T01;MAPK;ERK;NA;FALSE;FALSE
ETP-46464;D020T01;PI3K/Akt/mTOR;mTOR;mtor;TRUE;TRUE
Flavopiridol (Alvocidib);D020T01;Cell Cycle;CDK;NA;FALSE;FALSE
Flavopiridol HCl;D020T01;Cell Cycle;CDK;cdk;FALSE;TRUE
Fostamatinib (R788);D020T01;Angiogenesis;Syk;NA;FALSE;FALSE
FRAX597;D020T01;Cytoskeletal Signaling;PAK;NA;FALSE;FALSE
GDC-0349;D020T01;PI3K/Akt/mTOR;mTOR;mtor;TRUE;TRUE
GDC-0980 (RG7422);D020T01;PI3K/Akt/mTOR;mTOR, PI3K;mtor;TRUE;TRUE
Gefitinib (ZD1839);D020T01;Protein Tyrosine Kinase;EGFR;egfr;FALSE;TRUE
GF109203X;D020T01;TGF-beta/Smad;PKC;NA;FALSE;FALSE
Golvatinib (E7050);D020T01;Protein Tyrosine Kinase;c-Met, VEGFR;c-met;FALSE;TRUE
GSK1838705A;D020T01;Protein Tyrosine Kinase;IGF-1, ALK;NA;FALSE;FALSE
GSK2126458 (GSK458);D020T01;PI3K/Akt/mTOR;PI3K, mTOR;NA;FALSE;FALSE
GSK2292767;D020T01;PI3K/Akt/mTOR;PI3K;NA;FALSE;FALSE
GSK2334470;D020T01;PI3K/Akt/mTOR;PDK-1;NA;TRUE;FALSE
GSK461364;D020T01;Cell Cycle;PLK;plk;FALSE;TRUE
GZD824;D020T01;Angiogenesis;Bcr-Abl;NA;FALSE;FALSE
Hesperadin;D020T01;Cell Cycle;Aurora Kinase;NA;FALSE;FALSE
HMN-214;D020T01;Cell Cycle;PLK;plk;FALSE;TRUE
HS-173;D020T01;PI3K/Akt/mTOR;PI3K;NA;FALSE;FALSE
HTH-01-015;D020T01;PI3K/Akt/mTOR;AMPK;NA;FALSE;FALSE
IKK-16 (IKK Inhibitor VII);D020T01;NF-_B;IKK;NA;FALSE;FALSE
Imatinib Mesylate (STI571);D020T01;Protein Tyrosine Kinase;PDGFR, c-Kit, Bcr-Abl;bcr-abl;FALSE;TRUE
INK 128 (MLN0128);D020T01;PI3K/Akt/mTOR;mTOR;mtor;TRUE;TRUE
Irinotecan / SN-38__0.2;D020T01;NA;TOP1MT;NA;FALSE;FALSE
Irinotecan / SN-38__1.0;D020T01;NA;TOP1MT;NA;FALSE;FALSE
JNJ-7706621;D020T01;Cell Cycle;CDK, Aurora Kinase;aurora kinase;FALSE;TRUE
JNK Inhibitor IX;D020T01;MAPK;JNK;NA;FALSE;FALSE
JNK-IN-8;D020T01;MAPK;JNK;NA;FALSE;FALSE
KU-60019;D020T01;DNA Damage;ATM;NA;FALSE;FALSE
KW-2449;D020T01;Angiogenesis;Flt, Bcr-Abl, Aurora Kinase;NA;FALSE;FALSE
KX2-391;D020T01;Angiogenesis;Src;NA;FALSE;FALSE
LDC000067;D020T01;Cell Cycle;CDK;cdk;FALSE;TRUE
LDK378;D020T01;Protein Tyrosine Kinase;ALK;NA;FALSE;FALSE
LY2090314;D020T01;PI3K/Akt/mTOR;GSK-3;gsk-3;FALSE;TRUE
LY2603618;D020T01;Cell Cycle;Chk;chk;FALSE;TRUE
LY2784544;D020T01;JAK/STAT;JAK;jak;FALSE;TRUE
LY2835219;D020T01;Cell Cycle;CDK;NA;FALSE;FALSE
LY3023414;D020T01;PI3K/Akt/mTOR;Akt;NA;FALSE;FALSE
MEK162 (ARRY-162, ARRY-438162);D020T01;MAPK;MEK;mek;FALSE;TRUE
Milciclib (PHA-848125);D020T01;Cell Cycle;CDK;cdk;FALSE;TRUE
MK-5108 (VX-689);D020T01;Cell Cycle;Aurora Kinase;NA;FALSE;FALSE
MK-8745;D020T01;Cell Cycle;Aurora Kinase;NA;FALSE;FALSE
Mubritinib (TAK 165);D020T01;Protein Tyrosine Kinase;HER2;NA;FALSE;FALSE
NVP-AEW541;D020T01;Protein Tyrosine Kinase;IGF-1R;NA;FALSE;FALSE
ONO-4059;D020T01;Angiogenesis;BTK;NA;FALSE;FALSE
OSI-027;D020T01;PI3K/Akt/mTOR;mTOR;mtor;TRUE;TRUE
OSI-420;D020T01;Protein Tyrosine Kinase;EGFR;egfr;FALSE;TRUE
OSI-906 (Linsitinib);D020T01;Others;IGF-1R;NA;FALSE;FALSE
P276-00;D020T01;Cell Cycle;CDK;cdk;FALSE;TRUE
Pacritinib (SB1518);D020T01;JAK/STAT;JAK;jak;FALSE;TRUE
PD0325901;D020T01;DNA Damage;MEK;mek;FALSE;TRUE
PD168393;D020T01;Protein Tyrosine Kinase;EGFR;NA;FALSE;FALSE
PD184352 (CI-1040);D020T01;MAPK;MEK;mek;FALSE;TRUE
PD318088;D020T01;MAPK;MEK;mek;FALSE;TRUE
Pelitinib (EKB-569);D020T01;Protein Tyrosine Kinase;EGFR;egfr;FALSE;TRUE
PF-00562271;D020T01;Angiogenesis;FAK;fak;FALSE;TRUE
PF-04691502;D020T01;PI3K/Akt/mTOR;mTOR, PI3K, Akt;mtor;TRUE;TRUE
PF-3758309;D020T01;Cytoskeletal Signaling;PAK;NA;FALSE;FALSE
PF-431396;D020T01;Angiogenesis;FAK;fak;FALSE;TRUE
PF-4708671;D020T01;PI3K/Akt/mTOR;S6 Kinase;NA;FALSE;FALSE
PF-477736;D020T01;Cell Cycle;Chk;chk;FALSE;TRUE
PF-543;D020T01;GPCR & G Protein;SphK1;NA;FALSE;FALSE
PF-562271;D020T01;Angiogenesis;FAK;NA;FALSE;FALSE
PHA-680632;D020T01;Cell Cycle;Aurora Kinase;aurora kinase;FALSE;TRUE
PHA-767491;D020T01;Cell Cycle;CDK;NA;FALSE;FALSE
PHA-793887;D020T01;Cell Cycle;CDK;NA;FALSE;FALSE
Piceatannol;D020T01;Angiogenesis;Syk;NA;FALSE;FALSE
PIK-93;D020T01;PI3K/Akt/mTOR;PI3K, VEGFR;vegfr;FALSE;TRUE
Pimasertib (AS-703026);D020T01;MAPK;MEK;mek;FALSE;TRUE
Ponatinib (AP24534);D020T01;Angiogenesis;Bcr-Abl, VEGFR, FGFR, PDGFR, Flt;flt;FALSE;TRUE
PP121;D020T01;Protein Tyrosine Kinase;DNA-PK, mTOR, PDGF;mtor;FALSE;TRUE
PP242;D020T01;PI3K/Akt/mTOR;mTOR;NA;FALSE;FALSE
Quizartinib (AC220);D020T01;Angiogenesis;Flt;flt;FALSE;TRUE
R547;D020T01;Cell Cycle;CDK;cdk;FALSE;TRUE
RAF265 (CHIR-265);D020T01;MAPK;Raf, VEGFR;NA;FALSE;FALSE
Refametinib (RDEA119, Bay 86-9766);D020T01;Others;MEK;mek;FALSE;TRUE
Rigosertib (ON-01910);D020T01;Cell Cycle;PLK;NA;FALSE;FALSE
Ro 31-8220 Mesylate;D020T01;TGF-beta/Smad;PKC;NA;FALSE;FALSE
Ro3280;D020T01;Cell Cycle;PLK;NA;FALSE;FALSE
Saracatinib (AZD0530);D020T01;Angiogenesis;Src, Bcr-Abl;NA;FALSE;FALSE
SC1;D020T01;MAPK;ERK;NA;FALSE;FALSE
Selumetinib (AZD6244);D020T01;MAPK;MEK;mek;FALSE;TRUE
SGI-7079;D020T01;Protein Tyrosine Kinase;VEGFR;NA;FALSE;FALSE
SNS-032 (BMS-387032);D020T01;Others;CDK;NA;FALSE;FALSE
SNS-314 Mesylate;D020T01;Others;Aurora Kinase;aurora kinase;FALSE;TRUE
Staurosporine_500nM;D020T01;NA;NA;NA;FALSE;FALSE
SU9516;D020T01;Cell Cycle;CDK;NA;FALSE;FALSE
TAE226 (NVP-TAE226);D020T01;Angiogenesis;FAK;fak;FALSE;TRUE
TAK-632;D020T01;MAPK;Raf;NA;FALSE;FALSE
TAK-733;D020T01;MAPK;MEK;mek;FALSE;TRUE
TAK-901;D020T01;Cell Cycle;Aurora Kinase;NA;FALSE;FALSE
Tepotinib (EMD 1214063);D020T01;Protein Tyrosine Kinase;c-Met;c-met;FALSE;TRUE
TG101209;D020T01;JAK/STAT;Flt, JAK, c-RET;NA;FALSE;FALSE
TG101348 (SAR302503);D020T01;JAK/STAT;JAK;NA;FALSE;FALSE
Tivantinib (ARQ 197);D020T01;Protein Tyrosine Kinase;c-Met;c-met;FALSE;TRUE
Torin 2;D020T01;PI3K/Akt/mTOR;mTOR;mtor;TRUE;TRUE
TPCA-1;D020T01;NF-_B;IKK;NA;FALSE;FALSE
Trametinib (GSK1120212);D020T01;MAPK;MEK;NA;FALSE;FALSE
Triciribine;D020T01;Others;Akt;NA;FALSE;FALSE
Vacquinol-1;D020T01;MAPK;JNK;NA;FALSE;FALSE
VE-822;D020T01;PI3K/Akt/mTOR;ATM, ATR;NA;FALSE;FALSE
VPS34-IN1;D020T01;PI3K/Akt/mTOR;PI3K;NA;FALSE;FALSE
VS-5584 (SB2343);D020T01;PI3K/Akt/mTOR;PI3K;NA;TRUE;FALSE
VX-11e;D020T01;MAPK;ERK;NA;FALSE;FALSE
VX-680 (Tozasertib, MK-0457);D020T01;Endocrinology & Hormones;Aurora Kinase;aurora kinase;FALSE;TRUE
WAY-600;D020T01;PI3K/Akt/mTOR;mTOR;mtor;TRUE;TRUE
Wnt agonist 1;D020T01;Stem Cells &  Wnt;Wnt, beta-catenin;NA;FALSE;FALSE
WYE-125132 (WYE-132);D020T01;PI3K/Akt/mTOR;mTOR;mtor;TRUE;TRUE
WYE-354;D020T01;PI3K/Akt/mTOR;mTOR;NA;FALSE;FALSE
WZ3146;D020T01;Protein Tyrosine Kinase;EGFR;egfr;FALSE;TRUE
XMD8-92;D020T01;MAPK;ERK;NA;FALSE;FALSE
ZM 447439;D020T01;Others;Aurora Kinase;NA;FALSE;FALSE
ZSTK474;D020T01;Neuronal Signaling;PI3K;NA;FALSE;FALSE
A-674563;D020T02;PI3K/Akt/mTOR;Akt, CDK, PKA;cdk;FALSE;TRUE
AEE788 (NVP-AEE788);D020T02;Protein Tyrosine Kinase;EGFR, Flt, VEGFR, HER2;egfr;FALSE;TRUE
Alisertib (MLN8237);D020T02;Others;Aurora Kinase;NA;FALSE;FALSE
AMG-900;D020T02;Cell Cycle;Aurora Kinase;aurora kinase;FALSE;TRUE
AP26113;D020T02;Protein Tyrosine Kinase;ALK;alk;FALSE;TRUE
AT7519;D020T02;Cell Cycle;CDK;cdk;TRUE;TRUE
AT9283;D020T02;Others;Bcr-Abl, JAK, Aurora Kinase;NA;FALSE;FALSE
Axitinib;D020T02;Protein Tyrosine Kinase;VEGFR, PDGFR, c-Kit;NA;FALSE;FALSE
AZ20;D020T02;PI3K/Akt/mTOR;ATM, ATR;NA;FALSE;FALSE
AZD1480;D020T02;JAK/STAT;JAK;NA;FALSE;FALSE
AZD2014;D020T02;PI3K/Akt/mTOR;mTOR;mtor;TRUE;TRUE
AZD2858;D020T02;PI3K/Akt/mTOR;GSK-3;NA;FALSE;FALSE
AZD3463;D020T02;Protein Tyrosine Kinase;ALK;alk;FALSE;TRUE
AZD5438;D020T02;Cell Cycle;CDK;NA;FALSE;FALSE
AZD6738;D020T02;PI3K/Akt/mTOR;ATM, ATR;NA;FALSE;FALSE
AZD7762;D020T02;Cell Cycle;Chk;NA;FALSE;FALSE
AZD8055;D020T02;PI3K/Akt/mTOR;mTOR;mtor;FALSE;TRUE
AZD8330;D020T02;MAPK;MEK;mek;TRUE;TRUE
AZD8931 (Sapitinib);D020T02;Protein Tyrosine Kinase;EGFR, HER2;egfr;FALSE;TRUE
AZD9291;D020T02;Protein Tyrosine Kinase;EGFR;NA;FALSE;FALSE
Barasertib (AZD1152-HQPA);D020T02;Others;Aurora Kinase;aurora kinase;FALSE;TRUE
BGT226 (NVP-BGT226);D020T02;PI3K/Akt/mTOR;PI3K, mTOR;NA;FALSE;FALSE
BI 2536;D020T02;Others;PLK;NA;FALSE;FALSE
BKM120 (NVP-BKM120, Buparlisib);D020T02;PI3K/Akt/mTOR;PI3K;NA;FALSE;FALSE
BMS-536924;D020T02;Protein Tyrosine Kinase;IGF-1R;NA;FALSE;FALSE
BMS-754807;D020T02;Others;IGF-1R;NA;FALSE;FALSE
Bortezomib__0.2;D020T02;NA;PSMB1;NA;FALSE;FALSE
Bortezomib__1.0;D020T02;NA;PSMB1;NA;FALSE;FALSE
Bosutinib (SKI-606);D020T02;Angiogenesis;Src;NA;FALSE;FALSE
BX-912;D020T02;PI3K/Akt/mTOR;PDK-1;NA;FALSE;FALSE
CH5132799;D020T02;PI3K/Akt/mTOR;PI3K, mTOR;mtor;TRUE;TRUE
CHIR-124;D020T02;Cell Cycle;Chk;NA;FALSE;FALSE
CHIR-98014;D020T02;PI3K/Akt/mTOR;GSK-3;NA;FALSE;FALSE
CNX-2006;D020T02;Protein Tyrosine Kinase;EGFR;NA;FALSE;FALSE
Cobimetinib (GDC-0973, RG7420);D020T02;MAPK;MEK;mek;FALSE;TRUE
CP-673451;D020T02;Protein Tyrosine Kinase;PDGFR;NA;FALSE;FALSE
Crenolanib (CP-868596);D020T02;Protein Tyrosine Kinase;PDGFR;NA;FALSE;FALSE
Crizotinib (PF-02341066);D020T02;Others;c-Met, ALK;alk;FALSE;TRUE
CUDC-101;D020T02;Epigenetics;HDAC, EGFR, HER2;her2;FALSE;TRUE
CUDC-907;D020T02;Cytoskeletal Signaling;HDAC, PI3K;NA;FALSE;FALSE
CYC116;D020T02;Cell Cycle;Aurora Kinase, VEGFR;aurora kinase;FALSE;TRUE
Danusertib (PHA-739358);D020T02;Others;Aurora Kinase, FGFR, Bcr-Abl, c-RET, Src;NA;FALSE;FALSE
Dinaciclib (SCH727965);D020T02;Cell Cycle;CDK;cdk;TRUE;TRUE
ENMD-2076;D020T02;Angiogenesis;Flt, Aurora Kinase, VEGFR;NA;FALSE;FALSE
ERK5-IN-1;D020T02;MAPK;ERK;NA;FALSE;FALSE
Flavopiridol (Alvocidib);D020T02;Cell Cycle;CDK;cdk;FALSE;TRUE
Flavopiridol HCl;D020T02;Cell Cycle;CDK;cdk;TRUE;TRUE
Foretinib (GSK1363089);D020T02;Others;c-Met, VEGFR;NA;FALSE;FALSE
Fostamatinib (R788);D020T02;Angiogenesis;Syk;NA;FALSE;FALSE
GDC-0349;D020T02;PI3K/Akt/mTOR;mTOR;mtor;FALSE;TRUE
GDC-0980 (RG7422);D020T02;PI3K/Akt/mTOR;mTOR, PI3K;mtor;TRUE;TRUE
Golvatinib (E7050);D020T02;Protein Tyrosine Kinase;c-Met, VEGFR;NA;FALSE;FALSE
GSK1838705A;D020T02;Protein Tyrosine Kinase;IGF-1, ALK;NA;FALSE;FALSE
GSK2126458 (GSK458);D020T02;PI3K/Akt/mTOR;PI3K, mTOR;NA;FALSE;FALSE
GSK461364;D020T02;Cell Cycle;PLK;NA;TRUE;FALSE
Hesperadin;D020T02;Cell Cycle;Aurora Kinase;NA;FALSE;FALSE
HMN-214;D020T02;Cell Cycle;PLK;NA;FALSE;FALSE
HS-173;D020T02;PI3K/Akt/mTOR;PI3K;NA;FALSE;FALSE
HTH-01-015;D020T02;PI3K/Akt/mTOR;AMPK;NA;FALSE;FALSE
IKK-16 (IKK Inhibitor VII);D020T02;NF-_B;IKK;NA;FALSE;FALSE
INK 128 (MLN0128);D020T02;PI3K/Akt/mTOR;mTOR;mtor;TRUE;TRUE
Irinotecan / SN-38__0.2;D020T02;NA;TOP1MT;NA;FALSE;FALSE
Irinotecan / SN-38__1.0;D020T02;NA;TOP1MT;NA;FALSE;FALSE
JNJ-7706621;D020T02;Cell Cycle;CDK, Aurora Kinase;NA;FALSE;FALSE
JNK Inhibitor IX;D020T02;MAPK;JNK;NA;FALSE;FALSE
KW-2449;D020T02;Angiogenesis;Flt, Bcr-Abl, Aurora Kinase;flt;FALSE;TRUE
KX2-391;D020T02;Angiogenesis;Src;NA;FALSE;FALSE
LDC000067;D020T02;Cell Cycle;CDK;NA;FALSE;FALSE
LDK378;D020T02;Protein Tyrosine Kinase;ALK;NA;FALSE;FALSE
LY2090314;D020T02;PI3K/Akt/mTOR;GSK-3;NA;FALSE;FALSE
LY2603618;D020T02;Cell Cycle;Chk;NA;FALSE;FALSE
LY2835219;D020T02;Cell Cycle;CDK;NA;FALSE;FALSE
LY3023414;D020T02;PI3K/Akt/mTOR;Akt;akt;FALSE;TRUE
MEK162 (ARRY-162, ARRY-438162);D020T02;MAPK;MEK;mek;FALSE;TRUE
Milciclib (PHA-848125);D020T02;Cell Cycle;CDK;NA;FALSE;FALSE
MK-2206 2HCl;D020T02;Others;Akt;akt;FALSE;TRUE
MK-5108 (VX-689);D020T02;Cell Cycle;Aurora Kinase;aurora kinase;FALSE;TRUE
MK-8745;D020T02;Cell Cycle;Aurora Kinase;aurora kinase;FALSE;TRUE
Mubritinib (TAK 165);D020T02;Protein Tyrosine Kinase;HER2;NA;FALSE;FALSE
NVP-AEW541;D020T02;Protein Tyrosine Kinase;IGF-1R;NA;FALSE;FALSE
OSI-027;D020T02;PI3K/Akt/mTOR;mTOR;mtor;FALSE;TRUE
OSI-420;D020T02;Protein Tyrosine Kinase;EGFR;NA;FALSE;FALSE
OSI-906 (Linsitinib);D020T02;Others;IGF-1R;NA;FALSE;FALSE
OSU-03012 (AR-12);D020T02;Others;PDK-1;NA;FALSE;FALSE
P276-00;D020T02;Cell Cycle;CDK;NA;FALSE;FALSE
Pacritinib (SB1518);D020T02;JAK/STAT;JAK;NA;FALSE;FALSE
PD0325901;D020T02;DNA Damage;MEK;mek;FALSE;TRUE
PD318088;D020T02;MAPK;MEK;mek;FALSE;TRUE
Pelitinib (EKB-569);D020T02;Protein Tyrosine Kinase;EGFR;egfr;FALSE;TRUE
PF-00562271;D020T02;Angiogenesis;FAK;fak;FALSE;TRUE
PF-3758309;D020T02;Cytoskeletal Signaling;PAK;NA;FALSE;FALSE
PF-431396;D020T02;Angiogenesis;FAK;fak;FALSE;TRUE
PF-4708671;D020T02;PI3K/Akt/mTOR;S6 Kinase;NA;FALSE;FALSE
PF-477736;D020T02;Cell Cycle;Chk;NA;FALSE;FALSE
PF-562271;D020T02;Angiogenesis;FAK;NA;FALSE;FALSE
PHA-665752;D020T02;Others;c-Met;NA;FALSE;FALSE
PHA-767491;D020T02;Cell Cycle;CDK;cdk;TRUE;TRUE
PHA-793887;D020T02;Cell Cycle;CDK;NA;FALSE;FALSE
Pimasertib (AS-703026);D020T02;MAPK;MEK;mek;TRUE;TRUE
PP121;D020T02;Protein Tyrosine Kinase;DNA-PK, mTOR, PDGF;mtor;FALSE;TRUE
Quizartinib (AC220);D020T02;Angiogenesis;Flt;flt;FALSE;TRUE
R547;D020T02;Cell Cycle;CDK;cdk;FALSE;TRUE
RAF265 (CHIR-265);D020T02;MAPK;Raf, VEGFR;NA;TRUE;FALSE
Refametinib (RDEA119, Bay 86-9766);D020T02;Others;MEK;mek;FALSE;TRUE
Rigosertib (ON-01910);D020T02;Cell Cycle;PLK;NA;FALSE;FALSE
Ro 31-8220 Mesylate;D020T02;TGF-beta/Smad;PKC;NA;FALSE;FALSE
Ro3280;D020T02;Cell Cycle;PLK;NA;FALSE;FALSE
Saracatinib (AZD0530);D020T02;Angiogenesis;Src, Bcr-Abl;NA;FALSE;FALSE
SC1;D020T02;MAPK;ERK;NA;FALSE;FALSE
Selumetinib (AZD6244);D020T02;MAPK;MEK;mek;TRUE;TRUE
SGI-7079;D020T02;Protein Tyrosine Kinase;VEGFR;NA;FALSE;FALSE
SNS-032 (BMS-387032);D020T02;Others;CDK;cdk;FALSE;TRUE
Staurosporine_500nM;D020T02;NA;NA;NA;FALSE;FALSE
TAE226 (NVP-TAE226);D020T02;Angiogenesis;FAK;fak;FALSE;TRUE
TAK-733;D020T02;MAPK;MEK;mek;TRUE;TRUE
TAK-901;D020T02;Cell Cycle;Aurora Kinase;NA;FALSE;FALSE
Temsirolimus (CCI-779, NSC 683864);D020T02;Neuronal Signaling;mTOR;NA;FALSE;FALSE
Tepotinib (EMD 1214063);D020T02;Protein Tyrosine Kinase;c-Met;NA;FALSE;FALSE
TG101209;D020T02;JAK/STAT;Flt, JAK, c-RET;NA;FALSE;FALSE
TG101348 (SAR302503);D020T02;JAK/STAT;JAK;NA;FALSE;FALSE
Tivantinib (ARQ 197);D020T02;Protein Tyrosine Kinase;c-Met;NA;FALSE;FALSE
Torin 2;D020T02;PI3K/Akt/mTOR;mTOR;NA;FALSE;FALSE
Trametinib (GSK1120212);D020T02;MAPK;MEK;mek;FALSE;TRUE
Triciribine;D020T02;Others;Akt;akt;FALSE;TRUE
VPS34-IN1;D020T02;PI3K/Akt/mTOR;PI3K;NA;FALSE;FALSE
VS-5584 (SB2343);D020T02;PI3K/Akt/mTOR;PI3K;pi3k;TRUE;TRUE
VX-680 (Tozasertib, MK-0457);D020T02;Endocrinology & Hormones;Aurora Kinase;aurora kinase;FALSE;TRUE
WAY-600;D020T02;PI3K/Akt/mTOR;mTOR;mtor;TRUE;TRUE
Wnt agonist 1;D020T02;Stem Cells &  Wnt;Wnt, beta-catenin;NA;FALSE;FALSE
WYE-125132 (WYE-132);D020T02;PI3K/Akt/mTOR;mTOR;mtor;TRUE;TRUE
WYE-354;D020T02;PI3K/Akt/mTOR;mTOR;NA;FALSE;FALSE
XMD8-92;D020T02;MAPK;ERK;NA;FALSE;FALSE
A-674563;D021T01;PI3K/Akt/mTOR;Akt, CDK, PKA;cdk;FALSE;TRUE
A66;D021T01;PI3K/Akt/mTOR;PI3K;pi3k;FALSE;TRUE
AEE788 (NVP-AEE788);D021T01;Protein Tyrosine Kinase;EGFR, Flt, VEGFR, HER2;vegfr;FALSE;TRUE
AG-1478 (Tyrphostin AG-1478);D021T01;Protein Tyrosine Kinase;EGFR;NA;FALSE;FALSE
Alisertib (MLN8237);D021T01;Others;Aurora Kinase;aurora kinase;FALSE;TRUE
AMG-900;D021T01;Cell Cycle;Aurora Kinase;NA;FALSE;FALSE
AP26113;D021T01;Protein Tyrosine Kinase;ALK;alk;FALSE;TRUE
ASP3026;D021T01;Protein Tyrosine Kinase;ALK;NA;FALSE;FALSE
AT13148;D021T01;PI3K/Akt/mTOR;Akt;NA;FALSE;FALSE
AT7519;D021T01;Cell Cycle;CDK;cdk;TRUE;TRUE
AT7867;D021T01;PI3K/Akt/mTOR;Akt, S6 kinase;NA;FALSE;FALSE
